'INGRID' | 1298095474 | 1298098146 | '0' | 1301965611 | 'Otani-san code' | 'Masashi Otani' | '0 is OK' | ' ' | 'All OK' | 
'INGRID' | 1298098148 | 1298100827 | '0' | 1301965611 | 'Otani-san code' | 'Masashi Otani' | '0 is OK' | ' ' | 'All OK' | 
'INGRID' | 1298100831 | 1298103493 | '0' | 1301965611 | 'Otani-san code' | 'Masashi Otani' | '0 is OK' | ' ' | 'All OK' | 
'INGRID' | 1298103496 | 1298106160 | '0' | 1301965611 | 'Otani-san code' | 'Masashi Otani' | '0 is OK' | ' ' | 'All OK' | 
'INGRID' | 1298106166 | 1298108841 | '0' | 1301965611 | 'Otani-san code' | 'Masashi Otani' | '0 is OK' | ' ' | 'All OK' | 
'INGRID' | 1298108843 | 1298111509 | '0' | 1301965611 | 'Otani-san code' | 'Masashi Otani' | '0 is OK' | ' ' | 'All OK' | 
'INGRID' | 1298111512 | 1298114178 | '0' | 1301965611 | 'Otani-san code' | 'Masashi Otani' | '0 is OK' | ' ' | 'All OK' | 
'INGRID' | 1298114181 | 1298116846 | '0' | 1301965611 | 'Otani-san code' | 'Masashi Otani' | '0 is OK' | ' ' | 'All OK' | 
'INGRID' | 1298116849 | 1298119515 | '0' | 1301965611 | 'Otani-san code' | 'Masashi Otani' | '0 is OK' | ' ' | 'All OK' | 
'INGRID' | 1298119519 | 1298122194 | '0' | 1301965611 | 'Otani-san code' | 'Masashi Otani' | '0 is OK' | ' ' | 'All OK' | 
'INGRID' | 1298122197 | 1298124853 | '0' | 1301965611 | 'Otani-san code' | 'Masashi Otani' | '0 is OK' | ' ' | 'All OK' | 
'INGRID' | 1298124856 | 1298127522 | '0' | 1301965611 | 'Otani-san code' | 'Masashi Otani' | '0 is OK' | ' ' | 'All OK' | 
'INGRID' | 1298127525 | 1298130181 | '0' | 1301965611 | 'Otani-san code' | 'Masashi Otani' | '0 is OK' | ' ' | 'All OK' | 
'INGRID' | 1298130185 | 1298130376 | '0' | 1301965611 | 'Otani-san code' | 'Masashi Otani' | '0 is OK' | ' ' | 'All OK' | 
'INGRID' | 1298130740 | 1298135179 | '0' | 1301965611 | 'Otani-san code' | 'Masashi Otani' | '0 is OK' | ' ' | 'All OK' | 
'INGRID' | 1298135182 | 1298135800 | '0' | 1301965611 | 'Otani-san code' | 'Masashi Otani' | '0 is OK' | ' ' | 'All OK' | 
'INGRID' | 1298136638 | 1298139301 | '0' | 1301965611 | 'Otani-san code' | 'Masashi Otani' | '0 is OK' | ' ' | 'All OK' | 
'INGRID' | 1298139304 | 1298145252 | '0' | 1301965611 | 'Otani-san code' | 'Masashi Otani' | '0 is OK' | ' ' | 'All OK' | 
'INGRID' | 1298145253 | 1298148229 | '0' | 1301965611 | 'Otani-san code' | 'Masashi Otani' | '0 is OK' | ' ' | 'All OK' | 
'INGRID' | 1298148232 | 1298151075 | '0' | 1301965611 | 'Otani-san code' | 'Masashi Otani' | '0 is OK' | ' ' | 'All OK' | 
'INGRID' | 1298151077 | 1298153782 | '0' | 1301965611 | 'Otani-san code' | 'Masashi Otani' | '0 is OK' | ' ' | 'All OK' | 
'INGRID' | 1298153784 | 1298156441 | '0' | 1301965611 | 'Otani-san code' | 'Masashi Otani' | '0 is OK' | ' ' | 'All OK' | 
'INGRID' | 1298156443 | 1298159093 | '0' | 1301965611 | 'Otani-san code' | 'Masashi Otani' | '0 is OK' | ' ' | 'All OK' | 
'INGRID' | 1298159096 | 1298162217 | '0' | 1301965611 | 'Otani-san code' | 'Masashi Otani' | '0 is OK' | ' ' | 'All OK' | 
'INGRID' | 1298162220 | 1298165211 | '0' | 1301965611 | 'Otani-san code' | 'Masashi Otani' | '0 is OK' | ' ' | 'All OK' | 
'INGRID' | 1298165215 | 1298167964 | '0' | 1301965611 | 'Otani-san code' | 'Masashi Otani' | '0 is OK' | ' ' | 'All OK' | 
'INGRID' | 1298167967 | 1298170722 | '0' | 1301965611 | 'Otani-san code' | 'Masashi Otani' | '0 is OK' | ' ' | 'All OK' | 
'INGRID' | 1298170725 | 1298173391 | '0' | 1301965611 | 'Otani-san code' | 'Masashi Otani' | '0 is OK' | ' ' | 'All OK' | 
'INGRID' | 1298173395 | 1298176150 | '0' | 1301965611 | 'Otani-san code' | 'Masashi Otani' | '0 is OK' | ' ' | 'All OK' | 
'INGRID' | 1298176153 | 1298178818 | '0' | 1301965611 | 'Otani-san code' | 'Masashi Otani' | '0 is OK' | ' ' | 'All OK' | 
'INGRID' | 1298178821 | 1298181535 | '0' | 1301965611 | 'Otani-san code' | 'Masashi Otani' | '0 is OK' | ' ' | 'All OK' | 
'INGRID' | 1298181536 | 1298184209 | '0' | 1301965611 | 'Otani-san code' | 'Masashi Otani' | '0 is OK' | ' ' | 'All OK' | 
'INGRID' | 1298184213 | 1298187051 | '0' | 1301965611 | 'Otani-san code' | 'Masashi Otani' | '0 is OK' | ' ' | 'All OK' | 
'INGRID' | 1298187055 | 1298189719 | '0' | 1301965611 | 'Otani-san code' | 'Masashi Otani' | '0 is OK' | ' ' | 'All OK' | 
'INGRID' | 1298189724 | 1298192824 | '0' | 1301965611 | 'Otani-san code' | 'Masashi Otani' | '0 is OK' | ' ' | 'All OK' | 
'INGRID' | 1298192828 | 1298195499 | '0' | 1301965611 | 'Otani-san code' | 'Masashi Otani' | '0 is OK' | ' ' | 'All OK' | 
'INGRID' | 1298195504 | 1298198176 | '0' | 1301965611 | 'Otani-san code' | 'Masashi Otani' | '0 is OK' | ' ' | 'All OK' | 
'INGRID' | 1298198178 | 1298200851 | '0' | 1301965611 | 'Otani-san code' | 'Masashi Otani' | '0 is OK' | ' ' | 'All OK' | 
'INGRID' | 1298200853 | 1298203522 | '0' | 1301965611 | 'Otani-san code' | 'Masashi Otani' | '0 is OK' | ' ' | 'All OK' | 
'INGRID' | 1298203524 | 1298206479 | '0' | 1301965611 | 'Otani-san code' | 'Masashi Otani' | '0 is OK' | ' ' | 'All OK' | 
'INGRID' | 1298206482 | 1298209150 | '0' | 1301965611 | 'Otani-san code' | 'Masashi Otani' | '0 is OK' | ' ' | 'All OK' | 
'INGRID' | 1298209154 | 1298211826 | '0' | 1301965611 | 'Otani-san code' | 'Masashi Otani' | '0 is OK' | ' ' | 'All OK' | 
